s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-50.4222696,14.8223315,13.8091030,1.2778000,0.7500000
0.0999725,-50.4704319,14.9099392,13.8197843,1.2768895,0.7586382
0.1999449,-50.5184773,14.9976109,13.8304146,1.2759790,0.7672763
0.2999174,-50.5664065,15.0853458,13.8409942,1.2750685,0.7759145
0.3998899,-50.6142206,15.1731432,13.8515234,1.2741580,0.7845526
0.4998623,-50.6619206,15.2610024,13.8620023,1.2732476,0.7931908
0.5998348,-50.7095073,15.3489227,13.8724314,1.2723371,0.8018289
0.6998072,-50.7569818,15.4369033,13.8828109,1.2714266,0.8104671
0.7997797,-50.8043450,15.5249436,13.8931411,1.2705161,0.8191053
0.8997522,-50.8515978,15.6130429,13.9034222,1.2696056,0.8277434
0.9997246,-50.8987413,15.7012004,13.9136545,1.2686951,0.8363816
1.0996971,-50.9457777,15.7894179,13.9238383,1.2691202,0.8353292
1.1996696,-50.9927071,15.8776920,13.9339739,1.2695775,0.8340427
1.2996420,-51.0395309,15.9660219,13.9440616,1.2700349,0.8327562
1.3996145,-51.0862505,16.0544066,13.9541015,1.2704922,0.8314696
1.4995870,-51.1328674,16.1428452,13.9640940,1.2709495,0.8301831
1.5995594,-51.1793829,16.2313369,13.9740394,1.2714069,0.8288966
1.6995319,-51.2257984,16.3198807,13.9839378,1.2718642,0.8276100
1.7995043,-51.2721155,16.4084757,13.9937896,1.2723216,0.8263235
1.8994768,-51.3183354,16.4971211,14.0035950,1.2727789,0.8250370
1.9994493,-51.3644598,16.5858160,14.0133542,1.2732363,0.8237504
2.0994217,-51.4104911,16.6745619,14.0230676,1.2723359,0.8271059
2.1993942,-51.4564297,16.7633556,14.0327354,1.2713683,0.8306913
2.2993667,-51.5022769,16.8521962,14.0423577,1.2704008,0.8342767
2.3993391,-51.5480342,16.9410828,14.0519350,1.2694332,0.8378621
2.4993116,-51.5937031,17.0300147,14.0614673,1.2684656,0.8414475
2.5992841,-51.6392849,17.1189908,14.0709550,1.2674980,0.8450329
2.6992565,-51.6847812,17.2080105,14.0803983,1.2665305,0.8486183
2.7992290,-51.7301934,17.2970728,14.0897975,1.2655629,0.8522037
2.8992014,-51.7755229,17.3861770,14.0991527,1.2645953,0.8557891
2.9991739,-51.8207712,17.4753222,14.1084643,1.2636277,0.8593745
3.0991464,-51.8659408,17.5645095,14.1177324,1.2633786,0.8580004
3.1991188,-51.9110320,17.6537362,14.1269574,1.2631843,0.8562483
3.2990913,-51.9560464,17.7430014,14.1361393,1.2629899,0.8544963
3.3990638,-52.0009855,17.8323044,14.1452785,1.2627956,0.8527443
3.4990362,-52.0458507,17.9216443,14.1543752,1.2626012,0.8509923
3.5990087,-52.0906434,18.0110203,14.1634296,1.2624069,0.8492402
3.6989812,-52.1353652,18.1004317,14.1724420,1.2622125,0.8474882
3.7989536,-52.1800176,18.1898776,14.1814125,1.2620181,0.8457362
3.8989261,-52.2246019,18.2793573,14.1903415,1.2618238,0.8439842
3.9988985,-52.2691197,18.3688699,14.1992290,1.2616294,0.8422321
4.0988710,-52.3135730,18.4584159,14.2080754,1.2620898,0.8474544
4.1988435,-52.3579627,18.5479932,14.2168809,1.2626184,0.8534037
4.2988159,-52.4022903,18.6376011,14.2256456,1.2631471,0.8593529
4.3987884,-52.4465573,18.7272389,14.2343698,1.2636757,0.8653021
4.4987609,-52.4907652,18.8169058,14.2430537,1.2642043,0.8712514
4.5987333,-52.5349155,18.9066010,14.2516976,1.2647329,0.8772006
4.6987058,-52.5790096,18.9963238,14.2603015,1.2652616,0.8831499
4.7986783,-52.6230491,19.0860734,14.2688659,1.2657902,0.8890991
4.8986507,-52.6670354,19.1758489,14.2773907,1.2663188,0.8950483
4.9986232,-52.7109700,19.2656498,14.2858764,1.2668474,0.9009976
5.0985956,-52.7548545,19.3554752,14.2943230,1.2657034,0.8974932
5.1985681,-52.7986903,19.4453245,14.3027308,1.2643356,0.8927241
5.2985406,-52.8424789,19.5351967,14.3110999,1.2629678,0.8879549
5.3985130,-52.8862217,19.6250912,14.3194307,1.2616000,0.8831858
5.4984855,-52.9299204,19.7150073,14.3277232,1.2602322,0.8784167
5.5984580,-52.9735764,19.8049442,14.3359777,1.2588644,0.8736476
5.6984304,-53.0171912,19.8949011,14.3441944,1.2574966,0.8688785
5.7984029,-53.0607663,19.9848774,14.3523734,1.2561288,0.8641094
5.8983754,-53.1043032,20.0748723,14.3605151,1.2547610,0.8593403
5.9983478,-53.1478034,20.1648851,14.3686195,1.2533932,0.8545711
6.0983203,-53.1912678,20.2549138,14.3766869,1.2535690,0.8563109
6.1982927,-53.2346986,20.3449590,14.3847174,1.2539994,0.8591244
6.2982652,-53.2780971,20.4350199,14.3927113,1.2544298,0.8619378
6.3982377,-53.3214650,20.5250957,14.4006687,1.2548603,0.8647512
6.4982101,-53.3648037,20.6151858,14.4085898,1.2552907,0.8675647
6.5981826,-53.4081147,20.7052894,14.4164749,1.2557211,0.8703781
6.6981551,-53.4513996,20.7954058,14.4243240,1.2561515,0.8731915
6.7981275,-53.4946598,20.8855343,14.4321375,1.2565819,0.8760049
6.8981000,-53.5378968,20.9756741,14.4399154,1.2570124,0.8788184
6.9980725,-53.5811122,21.0658246,14.4476579,1.2574428,0.8816318
7.0980449,-53.6243063,21.1559827,14.4553653,1.2562606,0.8797388
7.1980174,-53.6674818,21.2461500,14.4630377,1.2547593,0.8769144
7.2979899,-53.7106401,21.3363259,14.4706753,1.2532580,0.8740901
7.3979623,-53.7537828,21.4265096,14.4782783,1.2517567,0.8712657
7.4979348,-53.7969114,21.5167004,14.4858468,1.2502554,0.8684414
7.5979072,-53.8400274,21.6068975,14.4933811,1.2487541,0.8656170
7.6978797,-53.8831322,21.6971004,14.5008812,1.2472528,0.8627927
7.7978522,-53.9262275,21.7873083,14.5083474,1.2457515,0.8599683
7.8978246,-53.9693146,21.8775204,14.5157799,1.2442502,0.8571440
7.9977971,-54.0123950,21.9677360,14.5231788,1.2427489,0.8543196
8.0977696,-54.0554688,22.0579511,14.5305442,1.2414473,0.8582032
8.1977420,-54.0985389,22.1481685,14.5378765,1.2401922,0.8636479
8.2977145,-54.1416068,22.2383872,14.5451756,1.2389371,0.8690927
8.3976870,-54.1846741,22.3286068,14.5524419,1.2376820,0.8745374
8.4976594,-54.2277421,22.4188265,14.5596754,1.2364269,0.8799821
8.5976319,-54.2708124,22.5090456,14.5668763,1.2351718,0.8854268
8.6976043,-54.3138864,22.5992634,14.5740448,1.2339168,0.8908715
8.7975768,-54.3569656,22.6894792,14.5811811,1.2326617,0.8963163
8.8975493,-54.4000514,22.7796924,14.5882853,1.2314066,0.9017610
8.9975217,-54.4431453,22.8699020,14.5953576,1.2301515,0.9072057
9.0974942,-54.4862468,22.9601035,14.6023981,1.2289679,0.9115727
9.1974667,-54.5293594,23.0503002,14.6094070,1.2278036,0.9156490
9.2974391,-54.5724845,23.1404915,14.6163845,1.2266394,0.9197253
9.3974116,-54.6156238,23.2306766,14.6233307,1.2254751,0.9238016
9.4973841,-54.6587785,23.3208548,14.6302457,1.2243108,0.9278780
9.5973565,-54.7019504,23.4110254,14.6371298,1.2231465,0.9319543
9.6973290,-54.7451407,23.5011877,14.6439830,1.2219822,0.9360306
9.7973014,-54.7883510,23.5913410,14.6508056,1.2208180,0.9401070
9.8972739,-54.8315829,23.6814845,14.6575977,1.2196537,0.9441833
9.9972464,-54.8748376,23.7716175,14.6643594,1.2184894,0.9482596
10.0972188,-54.9181145,23.8617346,14.6710910,1.2173457,0.9486240
10.1971913,-54.9614173,23.9518400,14.6777924,1.2162084,0.9478419
10.2971638,-55.0047471,24.0419329,14.6844640,1.2150710,0.9470598
10.3971362,-55.0481054,24.1320128,14.6911057,1.2139337,0.9462777
10.4971087,-55.0914934,24.2220790,14.6977179,1.2127963,0.9454956
10.5970812,-55.1349126,24.3121308,14.7043006,1.2116590,0.9447135
10.6970536,-55.1783642,24.4021676,14.7108540,1.2105216,0.9439314
10.7970261,-55.2218495,24.4921887,14.7173782,1.2093843,0.9431493
10.8969985,-55.2653699,24.5821936,14.7238733,1.2082469,0.9423672
10.9969710,-55.3089265,24.6721813,14.7303396,1.2071096,0.9415851
11.0969435,-55.3525185,24.7621464,14.7367772,1.2042749,0.9412809
11.1969159,-55.3961495,24.8520933,14.7431861,1.2008451,0.9411443
11.2968884,-55.4398206,24.9420214,14.7495665,1.1974153,0.9410077
11.3968609,-55.4835331,25.0319300,14.7559187,1.1939855,0.9408710
11.4968333,-55.5272882,25.1218185,14.7622426,1.1905557,0.9407344
11.5968058,-55.5710872,25.2116862,14.7685385,1.1871259,0.9405978
11.6967783,-55.6149313,25.3015326,14.7748065,1.1836961,0.9404611
11.7967507,-55.6588217,25.3913569,14.7810467,1.1802663,0.9403245
11.8967232,-55.7027596,25.4811586,14.7872593,1.1768365,0.9401879
11.9966956,-55.7467462,25.5709367,14.7934444,1.1734067,0.9400512
12.0966681,-55.7907807,25.6606867,14.7996021,1.1705111,0.9444566
