# bccb1a34-8b35-47e6-b48b-073a86695ab7
# d2ef405a69b0bf3f3d38952a9f8b6e633afc7ce7
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0154513; -0.1358877; 2.2900000; 0.5650000; -0.0075464; -0.3960142; 3.8940890; 0.0430765
0.0997552; 0.1151843; -0.1385878; 2.2900000; 0.5700000; -0.0463488; -0.3817388; 3.8951923; 0.2605909
0.1995104; 0.2147077; -0.1450807; 0.3300000; 0.5750000; -0.0837066; -0.3673610; 3.9018603; 0.4731609
0.2992656; 0.3139248; -0.1552149; 0.2250000; 0.5900000; -0.1196340; -0.3531061; 3.9139385; 0.6811559
0.3990208; 0.4127389; -0.1688390; 0.2450000; 0.6050000; -0.1541588; -0.3391609; 3.9312609; 0.8847400
0.4987760; 0.5110533; -0.1858016; 0.3000000; 0.6300000; -0.1873204; -0.3256765; 3.9536473; 1.0838115
0.5985312; 0.6087715; -0.2059511; 0.3800000; 0.6550000; -0.2191668; -0.3127716; 3.9808992; 1.2778946
0.6982864; 0.7057965; -0.2291363; 0.6750000; 0.6850000; -0.2497529; -0.3005367; 4.0127935; 1.4659195
0.7980416; 0.8020389; -0.2552070; 0.9400000; 0.7200000; -0.2790985; -0.2865928; 4.0490712; 1.4813560
0.8977967; 0.8974560; -0.2840006; 1.1600000; 0.7550000; -0.3067471; -0.2681441; 4.0854037; 1.4327563
0.9975519; 0.9920603; -0.3153303; 1.3500000; 0.7950000; -0.3325384; -0.2494121; 4.1202395; 1.3800823
1.0973071; 1.0858811; -0.3490106; 1.5250000; 0.8400000; -0.3564622; -0.2305691; 4.1535183; 1.3229202
1.1970623; 1.1789476; -0.3848559; 1.6800000; 0.8900000; -0.3785183; -0.2117486; 4.1851703; 1.2600477
1.2968175; 1.2712889; -0.4226807; 1.8300000; 0.9350000; -0.3987141; -0.1930473; 4.2150971; 1.1884069
1.3965727; 1.3629345; -0.4622996; 1.9750000; 0.9900000; -0.4170625; -0.1745285; 4.2431289; 1.0673513
1.4963279; 1.4539134; -0.5035270; 2.1150000; 1.0450000; -0.4335793; -0.1562256; 4.2681484; 1.0396592
1.5960831; 1.5440792; -0.5460927; 2.1550000; 1.1000000; -0.4482456; -0.1378934; 4.2923785; 0.9208399
1.6958383; 1.6336009; -0.5898689; 2.1250000; 1.1550000; -0.4610686; -0.1194591; 4.3137258; 0.7505636
1.7955935; 1.7226279; -0.6347245; 2.0850000; 1.2150000; -0.4720586; -0.1010308; 4.3310479; 0.5711077
1.8953487; 1.8112368; -0.6804944; 2.0450000; 1.2700000; -0.4812170; -0.0826387; 4.3441820; 0.3865409
1.9951039; 1.8995038; -0.7270135; 2.0000000; 1.3300000; -0.4885468; -0.0642977; 4.3530491; 0.1993621
