# 30edd512-2fc6-4cf7-ad50-3845ecce1c02
# d2ef405a69b0bf3f3d38952a9f8b6e633afc7ce7
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0989451; -0.0049595; 0.8560299; 0.8439701; -2.1062757; 0.4613233; 2.0000000; 0.0000000
0.0997356; -0.0120501; -0.0538960; 0.8210380; 0.8789620; -2.0615323; 0.4359721; 2.0000000; 0.0000000
0.1994712; 0.0768916; -0.0990094; 0.7860460; 0.9139540; -2.0192925; 0.4111877; 2.0000000; 0.0000000
0.2992068; 0.1676091; -0.1404379; 0.7510790; 0.9489210; -1.9794795; 0.3873610; 2.0000000; 0.0000000
0.3989423; 0.2598644; -0.1783335; 0.7170564; 0.9829436; -1.9420167; 0.3638638; 2.0000000; 0.0000000
0.4986779; 0.3534296; -0.2128551; 0.6830338; 1.0169662; -1.9068872; 0.3406618; 2.0000000; 0.0000000
0.5984135; 0.4481097; -0.2441768; 0.6494525; 1.0505475; -1.8740474; 0.3180072; 2.0000000; 0.0000000
0.6981491; 0.5437466; -0.2724835; 0.6241101; 1.0758899; -1.8434515; 0.2954976; 2.0000000; 0.0000000
0.7978847; 0.6401701; -0.2979580; 0.5987678; 1.1012322; -1.8150981; 0.2731133; 2.0000000; 0.0000000
0.8976203; 0.7372472; -0.3207957; 0.5739702; 1.1260861; -1.7889651; 0.2510165; 2.0000000; 0.0000000
0.9973559; 0.8348753; -0.3411981; 0.5558447; 1.1449568; -1.7650251; 0.2290282; 2.0000000; 0.0000000
1.0970915; 0.9329397; -0.3593645; 0.5377192; 1.1638276; -1.7432786; 0.2070726; 2.0000000; 0.0000000
1.1968270; 1.0313566; -0.3755015; 0.5200058; 1.1822375; -1.7237165; 0.1852349; 2.0000000; 0.0000000
1.2965626; 1.1300622; -0.3898190; 0.5060109; 1.1964882; -1.7063349; 0.1633024; 2.0000000; 0.0000000
1.3962982; 1.2289841; -0.4025264; 0.4920160; 1.2107389; -1.6911411; 0.1413854; 2.0000000; 0.0000000
1.4960338; 1.3280714; -0.4138372; 0.4785157; 1.2243652; -1.6781281; 0.1202204; 2.0000000; 0.0000000
1.5957694; 1.4272941; -0.4239496; 0.4685180; 1.2335696; -1.6668260; 0.1064100; 2.0000000; 0.0000000
1.6955050; 1.5266149; -0.4330082; 0.4585203; 1.2427740; -1.6569032; 0.0925742; 2.0000000; 0.0000000
1.7952406; 1.6260144; -0.4411493; 0.4502119; 1.2503776; -1.6483464; 0.0814650; 2.0000000; 0.0000000
1.8949762; 1.7254606; -0.4484506; 0.4516458; 1.2487494; -1.6396225; 0.0935053; 2.0000000; 0.0000000
1.9947117; 1.8249895; -0.4548255; 0.4530798; 1.2471212; -1.6296988; 0.1054865; 2.0000000; 0.0000000
2.0944473; 1.9245992; -0.4601540; 0.4543740; 1.2456637; -1.6185790; 0.1179014; 2.0000000; 0.0000000
2.1941829; 2.0241998; -0.4643037; 0.4549964; 1.2450279; -1.6060256; 0.1339476; 2.0000000; 0.0000000
2.2939185; 2.1238999; -0.4671243; 0.4556188; 1.2443921; -1.5918667; 0.1499555; 2.0000000; 0.0000000
2.3936541; 2.2236647; -0.4684537; 0.4565250; 1.2434776; -1.5761096; 0.1658670; 2.0000000; 0.0000000
2.4933897; 2.3233410; -0.4681332; 0.4585933; 1.2414229; -1.5587907; 0.1816343; 2.0000000; 0.0000000
2.5931253; 2.4230609; -0.4660062; 0.4606617; 1.2393681; -1.5398868; 0.1974084; 2.0000000; 0.0000000
2.6928608; 2.5227578; -0.4619143; 0.4639193; 1.2364078; -1.5194036; 0.2131651; 2.0000000; 0.0000000
2.7925964; 2.6222354; -0.4557107; 0.4713779; 1.2302486; -1.4973612; 0.2291455; 2.0000000; 0.0000000
2.8923320; 2.7216174; -0.4472298; 0.4788365; 1.2240894; -1.4737045; 0.2451982; 2.0000000; 0.0000000
2.9920676; 2.8208036; -0.4363160; 0.4884821; 1.2166084; -1.4484364; 0.2612203; 2.0000000; 0.0000000
3.0918032; 2.9195557; -0.4228381; 0.5048621; 1.2050567; -1.4216018; 0.2772845; 2.0000000; 0.0000000
3.1915388; 3.0179720; -0.4066230; 0.5212422; 1.1935050; -1.3931337; 0.2935464; 2.0000000; 0.0000000
3.2912744; 3.1159147; -0.3875244; 0.5408418; 1.1771252; -1.3630252; 0.3099291; 2.0000000; 0.0000000
3.3910100; 3.2131049; -0.3654337; 0.5691510; 1.1476845; -1.3312926; 0.3268771; 2.0000000; 0.0000000
3.4907455; 3.3095933; -0.3401690; 0.5974602; 1.1182437; -1.2978261; 0.3442062; 2.0000000; 0.0000000
3.5904811; 3.4052005; -0.3115932; 0.6300960; 1.0838857; -1.2626035; 0.3617347; 2.0000000; 0.0000000
3.6902167; 3.4996125; -0.2796215; 0.6730732; 1.0377746; -1.2256514; 0.3797814; 2.0000000; 0.0000000
3.7899523; 3.5928020; -0.2440764; 0.7160504; 0.9916635; -1.1868401; 0.3985281; 2.0000000; 0.0000000
3.8896879; 3.6845411; -0.2048393; 0.7634563; 0.9433388; -1.1461184; 0.4176971; 2.0000000; 0.0000000
3.9894235; 3.7744967; -0.1618478; 0.8202603; 0.8903168; -1.1034893; 0.4375957; 2.0000000; 0.0000000
4.0891591; 3.8625197; -0.1149566; 0.8770643; 0.8372948; -1.0588000; 0.4586690; 2.0000000; 0.0000000
4.1888947; 3.9483244; -0.0640767; 0.9390506; 0.7848476; -1.0119547; 0.4805038; 2.0000000; 0.0000000
4.2886302; 4.0315849; -0.0091478; 1.0108357; 0.7334875; -0.9628964; 0.5034266; 2.0000000; 0.0000000
4.3883658; 4.1119685; 0.0498824; 1.0826208; 0.6821273; -0.9114543; 0.5283880; 2.0000000; 0.0000000
4.4881014; 4.1891112; 0.1130496; 1.1595061; 0.6340058; -0.8574559; 0.5547166; 2.0000000; 0.0000000
4.5878370; 4.2627255; 0.1804639; 1.2450056; 0.5913544; -0.8007619; 0.5816647; 2.0000000; 0.0000000
4.6875726; 4.3322374; 0.2519688; 1.3305050; 0.5487029; -0.7412677; 0.6118171; 2.0000000; 0.0000000
4.7873082; 4.3971981; 0.3275072; 1.4141898; 0.5132581; -0.6787005; 0.6432999; 2.0000000; 0.0000000
4.8870438; 4.4574043; 0.4073116; 1.4951329; 0.4887011; -0.6137084; 0.6577772; 2.0000000; 0.0000000
4.9867793; 4.5121125; 0.4907082; 1.5760760; 0.4641441; -0.5471133; 0.6783575; 2.0000000; 0.0000000
5.0865149; 4.5609204; 0.5773620; 1.6425842; 0.4504532; -0.4783776; 0.7020006; 2.0000000; 0.0000000
5.1862505; 4.6038824; 0.6677232; 1.6894849; 0.4515220; -0.4098051; 0.6686135; 2.0000000; 0.0000000
5.2859861; 4.6405871; 0.7604267; 1.7363857; 0.4525908; -0.3447151; 0.6372495; 2.0000000; 0.0000000
5.3857217; 4.6712451; 0.8549893; 1.7635806; 0.4624277; -0.2827772; 0.6098989; 2.0000000; 0.0000000
5.4854573; 4.6962364; 0.9518236; 1.7667206; 0.4829681; -0.2226660; 0.5918932; 2.0000000; 0.0000000
5.5851929; 4.7153993; 1.0496323; 1.7698606; 0.5035085; -0.1645845; 0.5734265; 2.0000000; 0.0000000
5.6849285; 4.7289231; 1.1481944; 1.7654102; 0.5230826; -0.1084341; 0.5557161; 2.0000000; 0.0000000
5.7846640; 4.7369947; 1.2477091; 1.7526497; 0.5415988; -0.0536750; 0.5410613; 2.0000000; 0.0000000
5.8843996; 4.7396805; 1.3473603; 1.7398892; 0.5601151; -0.0004542; 0.5266451; 2.0000000; 0.0000000
5.9841352; 4.7371350; 1.4469562; 1.7361602; 0.5698584; 0.0513375; 0.5136784; 2.0000000; 0.0000000
6.0838708; 4.7294818; 1.5464116; 1.7412627; 0.5710234; 0.1021051; 0.5041841; 2.0000000; 0.0000000
6.1836064; 4.7168436; 1.6453164; 1.7463651; 0.5721885; 0.1519305; 0.4952410; 2.0000000; 0.0000000
6.2833420; 4.6993400; 1.7434654; 1.7616274; 0.5630270; 0.2009018; 0.4875119; 2.0000000; 0.0000000
6.3830776; 4.6770842; 1.8406572; 1.7857780; 0.5448313; 0.2492160; 0.4816436; 2.0000000; 0.0000000
6.4828132; 4.6501800; 1.9366918; 1.8099286; 0.5266357; 0.2969976; 0.4766151; 2.0000000; 0.0000000
