s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.6185915,2.0346067,2.3945255,0.9110936,0.4728299
0.0499708,-0.6185030,1.9847621,2.3484253,0.8823181,0.5187499
0.0999415,-0.6176066,1.9349031,2.2997965,0.8535425,0.5646699
0.1499123,-0.6158854,1.8850429,2.2843076,0.8247669,0.6105899
0.1998831,-0.6133228,1.8351943,2.2690410,0.7959914,0.6565100
0.2498538,-0.6099020,1.7853705,2.2539908,0.7672158,0.7024300
0.2998246,-0.6056062,1.7355845,2.2391446,0.7384403,0.7483500
0.3497954,-0.6004189,1.6858492,2.2244815,0.7096647,0.7942700
0.3997661,-0.5943231,1.6361778,2.2099700,0.6808892,0.8401901
0.4497369,-0.5873022,1.5865832,2.1955514,0.6521136,0.8861101
0.4997077,-0.5793405,1.5370847,2.1811450,0.6233381,0.9320301
0.5496784,-0.5705012,1.4881113,2.1666798,0.6000331,0.9768359
0.5996492,-0.5607082,1.4392656,2.1520949,0.5780623,1.0213700
0.6496200,-0.5499498,1.3905736,2.1373423,0.5560915,1.0659041
0.6995907,-0.5382143,1.3420617,2.1224028,0.5341208,1.1104382
0.7495615,-0.5254900,1.2937560,2.1072809,0.5121500,1.1549722
0.7995323,-0.5117653,1.2456828,2.0919731,0.4901793,1.1995063
0.8495030,-0.4970284,1.1978683,2.0764673,0.4682085,1.2440404
0.8994738,-0.4812677,1.1503388,2.0607411,0.4462377,1.2885745
0.9494446,-0.4644715,1.1031206,2.0448104,0.4242670,1.3331086
0.9994153,-0.4466281,1.0562398,2.0287728,0.4022962,1.3776426
1.0493861,-0.4278563,1.0100357,2.0127554,0.3880955,1.3946573
1.0993569,-0.4080371,0.9642510,1.9969208,0.3789076,1.3939174
1.1493276,-0.3871519,0.9189089,1.9814755,0.3697197,1.3931775
1.1992984,-0.3651897,0.8740519,1.9666311,0.3605319,1.3924376
1.2492692,-0.3421393,0.8297224,1.9525772,0.3513440,1.3916978
1.2992399,-0.3179897,0.7859629,1.9395619,0.3421561,1.3909579
1.3492107,-0.2927298,0.7428160,1.9279519,0.3329682,1.3902180
1.3991815,-0.2663485,0.7003241,1.9188013,0.3237804,1.3894782
1.4491522,-0.2388348,0.6585298,1.9119454,0.3145925,1.3887383
1.4991230,-0.2101775,0.6174755,1.9079517,0.3054046,1.3879984
1.5490938,-0.1805058,0.5773802,1.9070636,0.3096428,1.3706894
1.5990645,-0.1497541,0.5381280,1.9091313,0.3330610,1.3297100
1.6490353,-0.1179272,0.4996908,1.9131643,0.3564792,1.2887307
1.6990061,-0.0850635,0.4620870,1.9192703,0.3798974,1.2477514
1.7489768,-0.0512012,0.4253346,1.9267104,0.4033156,1.2067720
1.7989476,-0.0163786,0.3894520,1.9349419,0.4267339,1.1657927
1.8489184,0.0193661,0.3544574,1.9436295,0.4501521,1.1248134
1.8988891,0.0559945,0.3203690,1.9525249,0.4735703,1.0838340
1.9488599,0.0934685,0.2872050,1.9614278,0.4969885,1.0428547
1.9988307,0.1317497,0.2549836,1.9704336,0.5204067,1.0018754
2.0488014,0.1707955,0.2237257,1.9798123,0.5445935,0.9637352
2.0987722,0.2105705,0.1934322,1.9898140,0.5715749,0.9359193
2.1487430,0.2510420,0.1640915,2.0006783,0.5985562,0.9081034
2.1987137,0.2921745,0.1356942,2.0126399,0.6255376,0.8802875
2.2486845,0.3339326,0.1082308,2.0256672,0.6525190,0.8524716
2.2986553,0.3762808,0.0816920,2.0395746,0.6795004,0.8246557
2.3486260,0.4191835,0.0560681,2.0542133,0.7064818,0.7968398
2.3985968,0.4626052,0.0313499,2.0694593,0.7334632,0.7690239
2.4485675,0.5065105,0.0075278,2.0852063,0.7604446,0.7412080
2.4985383,0.5508637,-0.0154076,2.1013735,0.7874260,0.7133921
2.5485091,0.5956870,-0.0374934,2.1179223,0.8142344,0.6857656
2.5984798,0.6409845,-0.0587543,2.1348359,0.8323907,0.6676093
2.6484506,0.6866461,-0.0791640,2.1521161,0.8505470,0.6494530
2.6984214,0.7326505,-0.0987411,2.1697799,0.8687033,0.6312967
2.7483921,0.7789768,-0.1175044,2.1878447,0.8868596,0.6131404
2.7983629,0.8256037,-0.1354723,2.2063071,0.9050159,0.5949841
2.8483337,0.8725101,-0.1526637,2.2251591,0.9231722,0.5768278
2.8983044,0.9196749,-0.1690972,2.2443896,0.9413285,0.5586715
2.9482752,0.9670770,-0.1847915,2.2639849,0.9594848,0.5405152
2.9982460,1.0146951,-0.1997651,2.2839291,0.9776411,0.5223589
3.0482167,1.0625524,-0.2140497,2.3042055,0.9957974,0.5042026
3.0981875,1.1107426,-0.2276934,2.3248011,1.0081805,0.4918195
3.1481583,1.1590943,-0.2406688,2.3457072,1.0193265,0.4806735
3.1981290,1.2075927,-0.2529963,2.3669180,1.0304724,0.4695276
3.2480998,1.2562227,-0.2646961,2.3884320,1.0416184,0.4583816
3.2980706,1.3049692,-0.2757886,2.4102502,1.0527643,0.4472357
3.3480413,1.3538172,-0.2862942,2.4323716,1.0639103,0.4360897
3.3980121,1.4027517,-0.2962332,2.4547937,1.0750563,0.4249437
3.4479829,1.4517575,-0.3056260,2.4775127,1.0862022,0.4137978
3.4979536,1.5008197,-0.3144928,2.5005170,1.0973482,0.4026518
3.5479244,1.5499599,-0.3228601,2.5237251,1.1084941,0.3915059
3.5978952,1.5994927,-0.3307969,2.5470638,1.1163674,0.3836326
3.6478659,1.6490494,-0.3382559,2.5704678,1.1222974,0.3777026
3.6978367,1.6986263,-0.3452527,2.5938786,1.1282274,0.3717726
3.7478075,1.7482196,-0.3518033,2.6172515,1.1341575,0.3658425
3.7977782,1.7978254,-0.3579233,2.6406167,1.1400875,0.3599125
3.8477490,1.8474399,-0.3636286,2.6640006,1.1460176,0.3539824
3.8977198,1.8970594,-0.3689348,2.6874265,1.1519476,0.3480524
3.9476905,1.9466800,-0.3738578,2.7109144,1.1578776,0.3421224
3.9976613,1.9962979,-0.3784134,2.7344824,1.1638077,0.3361923
4.0476321,2.0459246,-0.3826184,2.7581625,1.1697377,0.3302623
4.0976028,2.0958630,-0.3865117,2.7819840,1.1742473,0.3257527
4.1475736,2.1457913,-0.3900824,2.8059741,1.1768847,0.3231153
4.1975444,2.1957095,-0.3933484,2.8301573,1.1795220,0.3204780
4.2475151,2.2456177,-0.3963275,2.8544500,1.1821593,0.3178407
4.2974859,2.2955159,-0.3990376,2.8787115,1.1847966,0.3152034
4.3474567,2.3454043,-0.4014964,2.9028031,1.1874339,0.3125661
4.3974274,2.3952828,-0.4037219,2.9265885,1.1900713,0.3099287
4.4473982,2.4451517,-0.4057319,2.9499341,1.1927086,0.3072914
4.4973690,2.4950109,-0.4075442,2.9692821,1.1953459,0.3046541
4.5473397,2.5448706,-0.4091770,2.9838681,1.1979832,0.3020168
4.5973105,2.5948632,-0.4106505,2.9937884,1.2004306,0.3000000
4.6472813,2.6448470,-0.4119731,2.9991358,1.2022608,0.3000000
4.6972520,2.6948224,-0.4131569,3.0000000,1.2040910,0.3000000
4.7472228,2.7447903,-0.4142144,3.0000000,1.2059212,0.3000000
4.7971936,2.7947512,-0.4151579,3.0000000,1.2077514,0.3000000
4.8471643,2.8447058,-0.4159997,3.0000000,1.2095816,0.3000000
4.8971351,2.8946547,-0.4167521,3.0000000,1.2114118,0.3000000
4.9471059,2.9445984,-0.4174275,3.0000000,1.2132420,0.3000000
4.9970766,2.9945378,-0.4180382,3.0000000,1.2150722,0.3000000
5.0470474,3.0444796,-0.4185966,3.0000000,1.2169024,0.3000000
5.0970182,3.0944645,-0.4191131,3.0000000,1.2187564,0.3000663
5.1469889,3.1444461,-0.4195913,3.0000000,1.2211929,0.3017562
5.1969597,3.1944242,-0.4200339,3.0000000,1.2236295,0.3034461
5.2469305,3.2443988,-0.4204437,3.0000000,1.2260660,0.3051361
5.2969012,3.2943697,-0.4208235,3.0000000,1.2285025,0.3068260
5.3468720,3.3443369,-0.4211762,3.0000000,1.2309390,0.3085159
5.3968428,3.3943003,-0.4215045,3.0000000,1.2333755,0.3102058
5.4468135,3.4442597,-0.4218114,3.0000000,1.2358121,0.3118958
5.4967843,3.4942152,-0.4220995,3.0000000,1.2382486,0.3135857
5.5467551,3.5441732,-0.4223718,3.0000000,1.2406851,0.3152756
5.5967258,3.5941582,-0.4226306,3.0000000,1.2431216,0.3169655
5.6466966,3.6441392,-0.4228764,3.0000000,1.2448617,0.3182962
5.6966674,3.6941164,-0.4231097,3.0000000,1.2464722,0.3195601
5.7466381,3.7440901,-0.4233308,3.0000000,1.2480827,0.3208240
5.7966089,3.7940605,-0.4235404,3.0000000,1.2496932,0.3220878
5.8465797,3.8440278,-0.4237389,3.0000000,1.2513036,0.3233517
5.8965504,3.8939921,-0.4239267,3.0000000,1.2529141,0.3246155
