s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.4089015,1.9953480,2.2613216,0.6980936,0.6858299
0.0499161,-0.4215254,1.9470887,2.2529061,0.6849334,0.7178000
0.0998323,-0.4345610,1.8989371,2.2285633,0.6717731,0.7497702
0.1497484,-0.4478309,1.8508451,2.1884601,0.6586129,0.7817404
0.1996645,-0.4611573,1.8027646,2.1389825,0.6454527,0.8137105
0.2495807,-0.4743627,1.7546475,2.0888998,0.6322924,0.8456807
0.2994968,-0.4872695,1.7064456,2.0409703,0.6191322,0.8776508
0.3494129,-0.4997001,1.6581110,1.9976153,0.6059720,0.9096210
0.3993291,-0.5114768,1.6095955,1.9602616,0.5928118,0.9415911
0.4492452,-0.5224222,1.5608509,1.9282499,0.5796515,0.9735613
0.4991613,-0.5323584,1.5118293,1.9006583,0.5664913,1.0055314
0.5490775,-0.5410663,1.4628676,1.8763583,0.5610736,1.0317532
0.5989936,-0.5485511,1.4136387,1.8539536,0.5572396,1.0567992
0.6489097,-0.5547665,1.3641750,1.8316028,0.5534056,1.0818452
0.6988258,-0.5596640,1.3145205,1.8092995,0.5495716,1.1068912
0.7487420,-0.5631951,1.2647195,1.7870883,0.5457376,1.1319372
0.7986581,-0.5653111,1.2148159,1.7649927,0.5419036,1.1569831
0.8485742,-0.5659636,1.1648538,1.7430067,0.5380696,1.1820291
0.8984904,-0.5651039,1.1148775,1.7210827,0.5342356,1.2070751
0.9484065,-0.5626836,1.0649309,1.6991503,0.5304016,1.2321211
0.9983226,-0.5586540,1.0150582,1.6770253,0.5265676,1.2571671
1.0482388,-0.5529479,0.9651546,1.6545778,0.5236249,1.2630901
1.0981549,-0.5455344,0.9154428,1.6318169,0.5211405,1.2591784
1.1480710,-0.5363829,0.8660554,1.6088607,0.5186561,1.2552667
1.1979872,-0.5254608,0.8170994,1.5859377,0.5161718,1.2513550
1.2479033,-0.5127350,0.7686821,1.5635129,0.5136874,1.2474434
1.2978194,-0.4981728,0.7209105,1.5421856,0.5112031,1.2435317
1.3477356,-0.4817412,0.6738919,1.5226925,0.5087187,1.2396200
1.3976517,-0.4634073,0.6277334,1.5074344,0.5062343,1.2357083
1.4475678,-0.4431384,0.5825421,1.4963227,0.5037500,1.2317967
1.4974840,-0.4209014,0.5384251,1.4903037,0.5012656,1.2278850
1.5474001,-0.3963753,0.4949817,1.4898816,0.5077802,1.2098851
1.5973162,-0.3697857,0.4526628,1.4948047,0.5236399,1.1772550
1.6472324,-0.3413077,0.4116374,1.5029243,0.5394995,1.1446250
1.6971485,-0.3110420,0.3719350,1.5143546,0.5553592,1.1119950
1.7470646,-0.2790896,0.3335850,1.5279560,0.5712188,1.0793650
1.7969807,-0.2455513,0.2966170,1.5427709,0.5870784,1.0467350
1.8468969,-0.2105279,0.2610604,1.5582706,0.6029381,1.0141049
1.8968130,-0.1741203,0.2269447,1.5740182,0.6187977,0.9814749
1.9467291,-0.1364294,0.1942993,1.5896478,0.6346574,0.9488449
1.9966453,-0.0975559,0.1631538,1.6052932,0.6505170,0.9162149
2.0465614,-0.0574694,0.1334399,1.6212222,0.6667651,0.8870256
2.0964775,-0.0163441,0.1052268,1.6377436,0.6838356,0.8651226
