# c2ab66c0-3004-4737-bc3a-2858c9e9be77
# fdbb7d8d92a39d054fb809a1f9c8a571de47ccb1
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0506840; 0.2841478; 1.4992540; 0.7007460; -1.5069701; -0.0101038; 2.0000000; 0.0000000
0.0998286; 0.0488454; 0.2904502; 1.5032501; 0.6964476; -1.5082343; -0.0152475; 2.0000000; 0.0000000
0.1996572; 0.1484074; 0.2966026; 1.5072462; 0.6921491; -1.5100116; -0.0203852; 2.0000000; 0.0000000
0.2994858; 0.2480052; 0.3025539; 1.5112423; 0.6878507; -1.5123016; -0.0255165; 2.0000000; 0.0000000
0.3993144; 0.3476418; 0.3082529; 1.5152384; 0.6835523; -1.5151039; -0.0306408; 2.0000000; 0.0000000
0.4991430; 0.4473206; 0.3136486; 1.5192345; 0.6792538; -1.5184181; -0.0357574; 2.0000000; 0.0000000
0.5989716; 0.5470448; 0.3186897; 1.5232306; 0.6749554; -1.5222436; -0.0408649; 2.0000000; 0.0000000
0.6988002; 0.6468175; 0.3233252; 1.5272267; 0.6706570; -1.5265799; -0.0459619; 2.0000000; 0.0000000
0.7986288; 0.7466419; 0.3275039; 1.5312228; 0.6663585; -1.5314261; -0.0510461; 2.0000000; 0.0000000
0.8984574; 0.8464956; 0.3311737; 1.5325440; 0.6629538; -1.5367799; -0.0560967; 2.0000000; 0.0000000
0.9982860; 0.9461778; 0.3342786; 1.5115709; 0.6669977; -1.5426180; -0.0609814; 2.0000000; 0.0000000
1.0981146; 1.0459094; 0.3367779; 1.4905977; 0.6710416; -1.5489457; -0.0658727; 2.0000000; 0.0000000
1.1979432; 1.1456830; 0.3386222; 1.4696246; 0.6750855; -1.5557635; -0.0707709; 2.0000000; 0.0000000
1.2977718; 1.2454914; 0.3397620; 1.4486514; 0.6791294; -1.5630723; -0.0756755; 2.0000000; 0.0000000
1.3976004; 1.3453272; 0.3401478; 1.4276782; 0.6831733; -1.5708725; -0.0805852; 2.0000000; 0.0000000
1.4974290; 1.4451830; 0.3397303; 1.4067051; 0.6872172; -1.5791648; -0.0854980; 2.0000000; 0.0000000
1.5972576; 1.5450514; 0.3384599; 1.3857319; 0.6912612; -1.5879494; -0.0904109; 2.0000000; 0.0000000
1.6970862; 1.6449251; 0.3362872; 1.3647588; 0.6953051; -1.5972265; -0.0953200; 2.0000000; 0.0000000
1.7969148; 1.7447796; 0.3331634; 1.3325601; 0.6997453; -1.6069945; -0.1002521; 2.0000000; 0.0000000
1.8967434; 1.8445425; 0.3290421; 1.2594612; 0.7056294; -1.6172588; -0.1053547; 2.0000000; 0.0000000
1.9965720; 1.9442685; 0.3238708; 1.1863624; 0.7115134; -1.6280367; -0.1105124; 2.0000000; 0.0000000
2.0964006; 2.0439331; 0.3175991; 1.1132635; 0.7173975; -1.6393325; -0.1157244; 2.0000000; 0.0000000
2.1962292; 2.1435118; 0.3101766; 1.0401646; 0.7232816; -1.6511506; -0.1209887; 2.0000000; 0.0000000
2.2960578; 2.2429803; 0.3015529; 0.9670657; 0.7291657; -1.6634952; -0.1263020; 2.0000000; 0.0000000
2.3958864; 2.3423141; 0.2916773; 0.8939668; 0.7350498; -1.6763703; -0.1316593; 2.0000000; 0.0000000
2.4957150; 2.4414887; 0.2804996; 0.8208679; 0.7409339; -1.6897792; -0.1370541; 2.0000000; 0.0000000
2.5955436; 2.5404797; 0.2679693; 0.7477690; 0.7468180; -1.7037251; -0.1424781; 2.0000000; 0.0000000
2.6953722; 2.6393237; 0.2540270; 0.6912196; 0.7575776; -1.7182024; -0.1465663; 2.0000000; 0.0000000
2.7952008; 2.7381152; 0.2386174; 0.6688836; 0.7784166; -1.7328614; -0.1466645; 2.0000000; 0.0000000
2.8950294; 2.8366437; 0.2217653; 0.6465475; 0.7992556; -1.7475300; -0.1468368; 2.0000000; 0.0000000
2.9948580; 2.9348809; 0.2034754; 0.6242115; 0.8200946; -1.7622146; -0.1470833; 2.0000000; 0.0000000
3.0946866; 3.0327983; 0.1837520; 0.6018755; 0.8409336; -1.7769214; -0.1474041; 2.0000000; 0.0000000
3.1945152; 3.1303677; 0.1625996; 0.5795394; 0.8617726; -1.7916568; -0.1477993; 2.0000000; 0.0000000
3.2943438; 3.2275605; 0.1400227; 0.5572034; 0.8826117; -1.8064273; -0.1482688; 2.0000000; 0.0000000
3.3941724; 3.3243485; 0.1160258; 0.5348674; 0.9034507; -1.8212390; -0.1488127; 2.0000000; 0.0000000
3.4940010; 3.4207033; 0.0906133; 0.5125313; 0.9242897; -1.8360985; -0.1494309; 2.0000000; 0.0000000
3.5938296; 3.5166793; 0.0637671; 0.5204266; 0.9435565; -1.8509124; -0.1435619; 2.0000000; 0.0000000
3.6936583; 3.6123593; 0.0355304; 0.5669602; 0.9608140; -1.8643112; -0.1250200; 2.0000000; 0.0000000
3.7934869; 3.7076511; 0.0061119; 0.6134938; 0.9780715; -1.8758474; -0.1063052; 2.0000000; 0.0000000
3.8933155; 3.8026248; -0.0243149; 0.6600274; 0.9953289; -1.8855114; -0.0874894; 2.0000000; 0.0000000
3.9931441; 3.8973507; -0.0555763; 0.7065610; 1.0125864; -1.8932980; -0.0686282; 2.0000000; 0.0000000
4.0929727; 3.9918990; -0.0874986; 0.7530947; 1.0298439; -1.8992051; -0.0497634; 2.0000000; 0.0000000
4.1928013; 4.0863400; -0.1199082; 0.7996283; 1.0471013; -1.9032330; -0.0309258; 2.0000000; 0.0000000
4.2926299; 4.1807438; -0.1526313; 0.8461619; 1.0643588; -1.9053837; -0.0121382; 2.0000000; 0.0000000
4.3924585; 4.2751809; -0.1854943; 0.8926955; 1.0816163; -1.9056607; 0.0065818; 2.0000000; 0.0000000
4.4922871; 4.3694148; -0.2182167; 0.9093426; 1.0602128; -1.9040298; 0.0272183; 2.0000000; 0.0000000
4.5921157; 4.4634584; -0.2505867; 0.9013445; 1.0069285; -1.9001827; 0.0501240; 2.0000000; 0.0000000
4.6919443; 4.5577432; -0.2825146; 0.8933464; 0.9536442; -1.8940568; 0.0729354; 2.0000000; 0.0000000
4.7917729; 4.6523386; -0.3137838; 0.8853482; 0.9003599; -1.8856580; 0.0956442; 2.0000000; 0.0000000
4.8916015; 4.7473146; -0.3441775; 0.8773501; 0.8470756; -1.8749929; 0.1182249; 2.0000000; 0.0000000
4.9914301; 4.8427408; -0.3734792; 0.8693520; 0.7937912; -1.8620710; 0.1406306; 2.0000000; 0.0000000
5.0912587; 4.9386869; -0.4014720; 0.8613538; 0.7405069; -1.8469053; 0.1627880; 2.0000000; 0.0000000
5.1910873; 5.0352226; -0.4279394; 0.8533557; 0.6872226; -1.8295152; 0.1845935; 2.0000000; 0.0000000
5.2909159; 5.1324176; -0.4526645; 0.8453576; 0.6339383; -1.8099278; 0.2059101; 2.0000000; 0.0000000
5.3907445; 5.2296677; -0.4752817; 0.8380328; 0.6171830; -1.7883282; 0.2268441; 2.0000000; 0.0000000
5.4905731; 5.3269808; -0.4956068; 0.8310588; 0.6194588; -1.7647157; 0.2482665; 2.0000000; 0.0000000
5.5904017; 5.4249278; -0.5135512; 0.8240849; 0.6217347; -1.7389039; 0.2702293; 2.0000000; 0.0000000
5.6902303; 5.5234364; -0.5288695; 0.8171109; 0.6240106; -1.7108473; 0.2926886; 2.0000000; 0.0000000
