# a1e044e6-5a0a-432b-9256-bfd27da1a712
# d2ef405a69b0bf3f3d38952a9f8b6e633afc7ce7
# s_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0499804; 0.2938401; 1.5098670; 0.6901330; -1.5209516; 0.0058595; 7.2276667; 2.8817877
0.0997343; 0.0498055; 0.2988389; 1.5126246; 0.6865680; -1.5206191; 0.0007938; 7.2673236; 2.8694342
0.1994687; 0.1495404; 0.3038431; 1.5153822; 0.6830030; -1.5207933; -0.0042849; 7.3065966; 2.8571349
0.2992030; 0.2492294; 0.3088021; 1.5181398; 0.6794379; -1.5214749; -0.0093755; 7.3454927; 2.8448896
0.3989373; 0.3488772; 0.3136657; 1.5208974; 0.6758729; -1.5226646; -0.0144768; 7.3840185; 2.8326979
0.4986716; 0.4484888; 0.3183834; 1.5236550; 0.6723079; -1.5243631; -0.0195876; 7.4221806; 2.8205595
0.5984060; 0.5480691; 0.3229046; 1.5264125; 0.6687429; -1.5265707; -0.0247065; 7.4599851; 2.8084742
0.6981403; 0.6476230; 0.3271791; 1.5291701; 0.6651779; -1.5292878; -0.0298318; 7.4974382; 2.7964417
0.7978746; 0.7471554; 0.3311563; 1.5319277; 0.6616128; -1.5325149; -0.0349617; 7.5345459; 2.3662828
0.8976090; 0.8466911; 0.3347864; 1.5333409; 0.6584297; -1.5362531; -0.0401688; 7.5658034; 1.5091244
0.9973433; 0.9464432; 0.3380233; 1.5116318; 0.6618134; -1.5405653; -0.0462471; 7.5856710; 0.6625430
1.0970776; 1.0461840; 0.3407991; 1.4899228; 0.6651972; -1.5454834; -0.0523319; 7.5943769; -0.1684117
1.1968119; 1.1459144; 0.3430535; 1.4682138; 0.6685809; -1.5510075; -0.0584212; 7.5921649; -0.9787603
1.2965463; 1.2456350; 0.3447264; 1.4465048; 0.6719647; -1.5571378; -0.0645118; 7.5792966; -1.7628728
1.3962806; 1.3453467; 0.3457576; 1.4247958; 0.6753484; -1.5638743; -0.0705998; 7.5560637; -2.5155781
1.4960149; 1.4450503; 0.3460867; 1.4030867; 0.6787322; -1.5712166; -0.0766802; 7.5227867; -3.2315916
