s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,4.1162340,3.0736775,1.7330230,1.5000000,0.3000000
0.0499924,4.0869355,3.0342144,1.7252750,1.4765559,0.3096574
0.0999849,4.0561739,2.9955734,1.7202231,1.4531117,0.3193148
0.1499773,4.0240100,2.9578011,1.7282001,1.4296676,0.3289722
0.1999697,3.9905044,2.9209445,1.7389792,1.4062234,0.3386296
0.2499622,3.9557178,2.8850501,1.7506772,1.3827793,0.3482870
0.2999546,3.9197107,2.8501649,1.7625815,1.3593351,0.3579443
0.3499471,3.8825440,2.8163355,1.7741856,1.3358910,0.3676017
0.3999395,3.8442781,2.7836087,1.7850788,1.3124469,0.3772591
0.4499319,3.8049737,2.7520312,1.7948949,1.2890027,0.3869165
0.4999244,3.7646916,2.7216499,1.8036234,1.2655586,0.3965739
0.5499168,3.7235976,2.6925834,1.8121925,1.2448639,0.4100234
0.5999092,3.6819661,2.6649810,1.8213577,1.2250225,0.4246496
0.6499017,3.6395452,2.6386027,1.8318099,1.2051810,0.4392759
0.6998941,3.5963866,2.6134256,1.8442237,1.1853396,0.4539022
0.7498865,3.5525422,2.5894272,1.8589440,1.1654982,0.4685285
0.7998790,3.5080640,2.5665847,1.8754029,1.1456568,0.4831548
0.8498714,3.4630038,2.5448755,1.8932340,1.1258154,0.4977811
0.8998639,3.4174134,2.5242769,1.9121677,1.1059740,0.5124074
0.9498563,3.3713447,2.5047662,1.9319924,1.0861326,0.5270337
0.9998487,3.3248497,2.4863207,1.9525346,1.0662912,0.5416599
1.0498412,3.2779801,2.4689178,1.9736639,1.0487960,0.5564030
1.0998336,3.2306597,2.4524917,1.9953112,1.0334123,0.5712512
1.1498260,3.1828618,2.4370025,2.0174419,1.0180287,0.5860995
1.1998185,3.1348095,2.4224861,2.0400497,1.0026451,0.6009477
1.2498109,3.0865322,2.4089088,2.0631510,0.9872615,0.6157959
1.2998034,3.0380592,2.3962368,2.0867657,0.9718779,0.6306441
1.3497958,2.9894199,2.3844363,2.1108889,0.9564943,0.6454923
1.3997882,2.9406436,2.3734737,2.1355104,0.9411107,0.6603405
1.4497807,2.8917596,2.3633152,2.1606172,0.9257271,0.6751887
1.4997731,2.8427973,2.3539270,2.1861943,0.9103435,0.6900369
1.5497655,2.7937860,2.3452754,2.2122264,0.8976058,0.7023942
1.5997580,2.7447551,2.3373267,2.2386505,0.8913627,0.7086373
1.6497504,2.6949719,2.3299394,2.2653816,0.8851196,0.7148804
1.6997428,2.6447464,2.3231494,2.2923453,0.8788765,0.7211235
1.7497353,2.5945763,2.3170010,2.3194763,0.8726333,0.7273667
1.7997277,2.5444822,2.3114644,2.3467173,0.8663902,0.7336098
1.8497202,2.4944846,2.3065098,2.3740664,0.8601471,0.7398529
1.8997126,2.4446041,2.3021073,2.4015508,0.8539040,0.7460960
1.9497050,2.3948614,2.2982272,2.4291944,0.8476609,0.7523391
1.9996975,2.3452771,2.2948397,2.4570186,0.8414178,0.7585822
2.0496899,2.2958717,2.2919149,2.4850430,0.8354365,0.7645635
2.0996823,2.2466658,2.2894230,2.5132805,0.8341692,0.7658308
2.1496748,2.1974286,2.2873246,2.5417005,0.8329019,0.7670981
2.1996672,2.1461442,2.2855327,2.5702774,0.8316346,0.7683654
2.2496596,2.0951333,2.2841261,2.5989899,0.8303673,0.7696327
2.2996521,2.0444042,2.2830764,2.6278198,0.8290999,0.7709001
2.3496445,1.9939654,2.2823551,2.6566297,0.8278326,0.7721674
2.3996370,1.9438251,2.2819337,2.6852802,0.8265653,0.7734347
2.4496294,1.8939917,2.2817838,2.7136289,0.8252980,0.7747020
2.4996218,1.8444737,2.2818769,2.7415307,0.8240306,0.7759694
2.5496143,1.7952793,2.2821845,2.7577665,0.8227633,0.7772367
2.5996067,1.7464170,2.2826782,2.7607114,0.8223529,0.7776471
2.6495991,1.6975506,2.2833347,2.7501390,0.8221359,0.7778641
2.6995916,1.6460818,2.2841732,2.7258357,0.8219189,0.7780811
2.7495840,1.5950001,2.2851222,2.6876059,0.8217020,0.7782980
2.7995764,1.5442962,2.2861448,2.6463585,0.8214850,0.7785150
2.8495689,1.4939609,2.2872046,2.6036990,0.8212681,0.7787319
2.8995613,1.4439849,2.2882648,2.5599143,0.8210511,0.7789489
2.9495538,1.3943589,2.2892888,2.5152900,0.8208341,0.7791659
