s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,4.2770835,3.0424628,1.4993842,0.2000000,0.8000000
0.0995908,4.3200251,3.1331572,1.4967867,0.2620346,0.7379654
0.1991815,4.3554125,3.2270181,1.5505901,0.3240692,0.6759308
0.2987723,4.3840682,3.3229065,1.6168173,0.3861038,0.6138962
0.3983630,4.4068146,3.4196832,1.6901169,0.4481384,0.5518616
0.4979538,4.4244742,3.5162092,1.7678956,0.5101730,0.4898270
0.5975446,4.4384558,3.6159169,1.8489088,0.5404038,0.4595962
0.6971353,4.4492261,3.7152020,1.9390545,0.5662173,0.4337827
0.7967261,4.4581421,3.8137608,1.9737318,0.5920308,0.4079692
0.8963168,4.4666992,3.9121516,1.8490821,0.6178444,0.3821556
0.9959076,4.4763929,4.0109329,1.7276042,0.6436579,0.3563421
1.0954983,4.4884449,4.1080406,1.6185010,0.6721035,0.3278965
1.1950891,4.5048266,4.2052329,1.5248757,0.7013983,0.2986017
1.2946799,4.5274196,4.3018857,1.4485760,0.7306930,0.2693070
1.3942706,4.5580912,4.3972462,1.3913817,0.7599877,0.2400123
1.4938614,4.5987090,4.4905620,1.3876642,0.7892824,0.2107176
1.5934521,4.6469855,4.5750660,1.3847753,0.8000000,0.2000000
1.6930429,4.7047029,4.6551041,1.3818733,0.8000000,0.2000000
1.7926337,4.7713934,4.7294484,1.3587709,0.8000000,0.2000000
1.8922244,4.8463646,4.7964246,1.3224983,0.8000000,0.2000000
1.9918152,4.9289243,4.8543585,1.3193689,0.8000000,0.2000000
2.0914059,5.0172289,4.9011161,1.3172303,0.7982022,0.2017978
2.1909967,5.1100343,4.9364733,1.3292818,0.7946921,0.2053079
2.2905875,5.2067185,4.9611871,1.3703038,0.7911820,0.2088180
2.3901782,5.3057174,4.9754773,1.4089329,0.7876719,0.2123281
2.4897690,5.4054669,4.9795639,1.4388985,0.7841618,0.2158382
2.5893597,5.5044169,4.9736653,1.4396689,0.7833913,0.2166087
2.6889505,5.6045475,4.9573769,1.4373748,0.7869014,0.2130986
2.7885412,5.7016105,4.9315016,1.4638014,0.7904115,0.2095885
2.8881320,5.7950831,4.8969197,1.4921211,0.7939216,0.2060784
2.9877228,5.8844427,4.8545119,1.5213724,0.7974316,0.2025684
3.0873135,5.9691666,4.8051584,1.5499876,0.7884228,0.2115772
3.1869043,6.0511702,4.7478923,1.5750335,0.7452715,0.2547285
3.2864950,6.1286298,4.6838796,1.5956695,0.7021201,0.2978799
3.3860858,6.2002620,4.6145571,1.6173698,0.6589688,0.3410312
3.4856766,6.2660784,4.5405357,1.6414919,0.6158174,0.3841826
3.5852673,6.3260903,4.4624262,1.6675442,0.5727163,0.4272837
3.6848581,6.3810029,4.3797315,1.6944765,0.5299082,0.4700918
3.7844488,6.4306884,4.2931431,1.7280520,0.4871001,0.5128999
3.8840396,6.4750147,4.2039504,1.7714608,0.4442921,0.5557079
3.9836304,6.5144290,4.1126390,1.8222616,0.4014840,0.5985160
4.0832211,6.5493783,4.0196939,1.8789266,0.3591855,0.6408145
4.1828119,6.5804141,3.9252238,1.9403782,0.3372725,0.6627275
4.2824026,6.6077980,3.8295665,2.0010056,0.3153594,0.6846406
4.3819934,6.6316923,3.7330297,2.0586546,0.2934463,0.7065537
4.4815841,6.6523452,3.6356641,2.1149827,0.2715332,0.7284668
