s_m,x_m,y_m,vx_mps,width_left_m,width_right_m
0.0000000,-0.4009130,0.2278100,3.8823903,0.8872550,0.6127450
0.0996662,-0.3253761,0.1625999,3.8924746,0.9203547,0.5798536
0.1993325,-0.2455108,0.1029433,3.9172667,0.9534545,0.5469622
0.2989987,-0.1618542,0.0486911,3.9552874,0.9865542,0.5140708
0.3986649,-0.0749435,-0.0003060,4.0046051,1.0196540,0.4811794
0.4983312,0.0146841,-0.0441969,4.0631015,1.0527538,0.4482880
0.5979974,0.1064914,-0.0831310,4.1286373,1.0858535,0.4153965
0.6976636,0.1999413,-0.1172572,4.1991378,1.1189533,0.3825051
0.7973299,0.2950750,-0.1468910,4.2726217,1.1514243,0.3505549
0.8969961,0.3922901,-0.1723832,4.3491585,1.1700635,0.3393116
0.9966623,0.4900885,-0.1937029,4.4338726,1.1887027,0.3280683
1.0963285,0.5883350,-0.2112875,4.5278015,1.2073419,0.3168249
1.1959948,0.6868942,-0.2255745,4.6316324,1.2259810,0.3055816
1.2956610,0.7856312,-0.2370013,4.7352645,1.2446202,0.2943383
1.3953272,0.8844107,-0.2460055,4.8362756,1.2632594,0.2830949
1.4949935,0.9830974,-0.2530245,4.9348281,1.2818986,0.2718516
1.5946597,1.0827539,-0.2585277,5.0310681,1.2994361,0.2614593
1.6943259,1.1825759,-0.2626346,5.1251273,1.3054064,0.2600032
1.7939922,1.2822265,-0.2654090,5.2171251,1.3113767,0.2585470
1.8936584,1.3817620,-0.2669381,5.3071703,1.3173470,0.2570909
1.9933246,1.4812386,-0.2673092,5.3953619,1.3233173,0.2556347
2.0929909,1.5807126,-0.2666098,5.4817908,1.3292876,0.2541785
2.1926571,1.6802402,-0.2649271,5.5665405,1.3352579,0.2527224
2.2923233,1.7797152,-0.2623524,5.6496879,1.3412282,0.2512662
2.3919896,1.8789841,-0.2589333,5.7313040,1.3457718,0.2507067
2.4916558,1.9783622,-0.2546189,5.8114546,1.3408038,0.2561246
2.5913220,2.0778214,-0.2493588,5.8902008,1.3358359,0.2615425
2.6909882,2.1773335,-0.2431025,5.9675994,1.3308680,0.2669604
2.7906545,2.2768704,-0.2357994,6.0437035,1.3259000,0.2723784
2.8903207,2.3764039,-0.2273992,6.1185625,1.3209321,0.2777963
2.9899869,2.4759059,-0.2178512,6.1922227,1.3159641,0.2832142
3.0896532,2.5747805,-0.2071695,6.2647277,1.3109962,0.2886321
3.1893194,2.6734862,-0.1952611,6.3361182,1.3044504,0.2955610
3.2889856,2.7721060,-0.1820615,6.4064326,1.2904098,0.3096669
3.3886519,2.8706273,-0.1675156,6.4757070,1.2763693,0.3237728
3.4883181,2.9690377,-0.1515687,6.5439756,1.2623288,0.3378787
3.5879843,3.0673248,-0.1341657,6.6112707,1.2482883,0.3519846
3.6876506,3.1654761,-0.1152519,6.6776226,1.2342477,0.3660905
3.7873168,3.2630924,-0.0948562,6.7390606,1.2202072,0.3801964
3.8869830,3.3597897,-0.0730270,6.7944220,1.2061667,0.3943023
3.9866493,3.4562787,-0.0495576,6.8435677,1.1901733,0.4118560
4.0863155,3.5525184,-0.0243917,6.8097621,1.1671494,0.4418218
4.1859817,3.6484675,0.0025266,6.7428121,1.1441256,0.4717875
4.2856480,3.7440847,0.0312534,6.6766876,1.1211018,0.5017533
4.3853142,3.8393289,0.0618450,6.6112555,1.0980780,0.5317190
4.4849804,3.9341586,0.0943575,6.5463608,1.0750542,0.5616848
4.5846466,4.0273312,0.1283944,6.4821841,1.0520304,0.5916505
4.6843129,4.1195764,0.1642409,6.4187436,1.0290066,0.6216162
4.7839791,4.2112694,0.2021048,6.3559222,1.0015645,0.6556143
4.8836453,4.3023517,0.2420402,6.2935770,0.9616040,0.7010373
4.9833116,4.3927647,0.2841013,6.2315353,0.9216436,0.7464603
5.0829778,4.4824500,0.3283423,6.1695917,0.8816831,0.7918833
5.1826440,4.5713488,0.3748174,6.1075038,0.8417227,0.8373062
5.2823103,4.6594027,0.4235808,6.0449890,0.8017622,0.8827292
5.3819765,4.7442075,0.4732733,5.9818791,0.7618018,0.9281522
5.4816427,4.8280683,0.5252155,5.9181004,0.7218413,0.9735752
5.5813090,4.9109123,0.5794492,5.8535453,0.6867867,1.0138934
5.6809752,4.9926587,0.6360116,5.7880100,0.6629454,1.0425437
5.7806414,5.0732266,0.6949397,5.7212486,0.6391040,1.0711939
5.8803077,5.1525354,0.7562707,5.6529685,0.6152627,1.0998441
5.9799739,5.2305040,0.8200416,5.5828256,0.5914214,1.1284944
6.0796401,5.3069428,0.8861925,5.5104101,0.5675800,1.1571446
6.1793064,5.3794335,0.9525621,5.4377150,0.5437387,1.1857949
6.2789726,5.4503150,1.0212942,5.3665700,0.5198974,1.2144451
6.3786388,5.5193843,1.0924064,5.2971250,0.5176550,1.2187080
6.4783050,5.5864386,1.1659163,5.2294850,0.5559105,1.1772445
6.5779713,5.6512750,1.2418414,5.1636967,0.5941660,1.1357811
6.6776375,5.7136907,1.3201994,5.0997305,0.6324216,1.0943176
6.7773037,5.7734828,1.4010079,5.0374605,0.6706771,1.0528542
6.8769700,5.8304485,1.4842843,4.9766408,0.7089326,1.0113907
6.9766362,5.8832765,1.5682047,4.9165416,0.7471882,0.9699273
7.0763024,5.9327107,1.6539716,4.8576267,0.7854437,0.9284638
7.1759687,5.9787772,1.7419003,4.8004973,0.8211242,0.8853247
7.2756349,6.0212231,1.8318808,4.7456947,0.8527990,0.8395790
7.3753011,6.0597956,1.9238029,4.6936797,0.8844739,0.7938333
7.4749674,6.0942415,2.0175565,4.6448032,0.9161488,0.7480877
7.5746336,6.1243081,2.1130315,4.5992669,0.9478236,0.7023420
7.6742998,6.1497423,2.2101177,4.5570760,0.9794985,0.6565963
7.7739661,6.1701467,2.3079051,4.5157597,1.0111733,0.6108506
7.8736323,6.1853410,2.4054891,4.4742748,1.0428482,0.5651049
7.9732985,6.1955154,2.5040294,4.4303577,1.0582059,0.5425819
8.0729647,6.2005225,2.6032235,4.3847478,1.0523515,0.5502484
8.1726310,6.2002150,2.7027688,4.3382134,1.0464970,0.5579149
8.2722972,6.1944455,2.8023629,4.2917528,1.0406426,0.5655814
8.3719634,6.1830666,2.9017033,4.2456495,1.0347881,0.5732480
8.4716297,6.1659312,3.0004876,4.1999444,1.0289336,0.5809145
8.5712959,6.1428918,3.0984131,4.1543666,1.0230792,0.5885810
8.6709621,6.1139387,3.1948033,4.1089830,1.0172247,0.5962475
8.7706284,6.0791191,3.2893780,4.0577464,0.9878940,0.6360964
8.8702946,6.0385631,3.3816971,3.9999085,0.9329527,0.7110535
8.9699608,5.9924441,3.4711617,3.9377351,0.8780115,0.7860106
9.0696271,5.9409358,3.5571732,3.8760155,0.8230702,0.8609677
9.1692933,5.8842117,3.6391329,3.8186126,0.7681290,0.9359248
9.2689595,5.8224453,3.7164419,3.7690602,0.7131877,1.0108818
9.3686258,5.7558101,3.7885016,3.7313432,0.6582465,1.0858389
9.4682920,5.6844797,3.8547133,3.7099016,0.6033053,1.1607960
9.5679582,5.6025867,3.9189856,3.6902176,0.5555845,1.2185997
9.6676245,5.5163117,3.9756026,3.6603586,0.5144825,1.2606796
9.7672907,5.4265659,4.0243892,3.6211863,0.4733805,1.3027594
9.8669569,5.3342462,4.0651828,3.5745067,0.4322785,1.3448392
9.9666231,5.2402497,4.0978205,3.5233580,0.3911765,1.3869191
10.0662894,5.1454731,4.1221396,3.4777183,0.3500744,1.4289989
10.1659556,5.0508135,4.1379774,3.4456289,0.3089724,1.4710788
10.2656218,4.9571678,4.1451712,3.4382671,0.2678704,1.5131586
10.3652881,4.8552553,4.1429587,3.4314158,0.2774427,1.4949934
10.4649543,4.7552865,4.1304133,3.4245507,0.3259952,1.4304858
10.5646205,4.6582269,4.1082483,3.4269380,0.3745478,1.3659783
10.6642868,4.5643046,4.0771998,3.4427700,0.4231003,1.3014707
10.7639530,4.4737480,4.0380039,3.4732613,0.4716528,1.2369632
10.8636192,4.3867852,3.9913965,3.5175228,0.5202053,1.1724556
10.9632855,4.3036446,3.9381139,3.5734108,0.5687578,1.1079480
11.0629517,4.2254247,3.8796486,3.6381649,0.6173103,1.0434405
11.1626179,4.1510121,3.8164891,3.7283301,0.6804364,0.9761325
11.2622842,4.0793072,3.7492031,3.8505938,0.7529311,0.9070243
11.3619504,4.0095750,3.6786139,3.9779726,0.8254258,0.8379161
11.4616166,3.9410807,3.6055453,4.1009113,0.8979205,0.7688079
11.5612829,3.8730893,3.5308209,4.2197999,0.9704152,0.6996997
11.6609491,3.8048659,3.4552642,4.3349734,1.0429099,0.6305915
11.7606153,3.7363611,3.3804300,4.4467222,1.1154046,0.5614833
11.8602815,3.6674725,3.3074099,4.5553003,1.1878993,0.4923751
11.9599478,3.5970120,3.2357234,4.6609307,1.2246635,0.4504409
12.0596140,3.5248146,3.1659930,4.7200154,1.2423713,0.4229996
12.1592802,3.4507149,3.0988410,4.6280204,1.2600792,0.3955583
12.2589465,3.3745477,3.0348897,4.5595169,1.2777870,0.3681170
12.3586127,3.2961479,2.9747616,4.5184169,1.2954949,0.3406757
12.4582789,3.2153502,2.9190791,4.5094132,1.3132028,0.3132343
12.5579452,3.1295009,2.8669166,4.5003914,1.3309106,0.2857930
12.6576114,3.0408894,2.8198216,4.5002960,1.3486185,0.2583517
12.7572776,2.9501731,2.7777457,4.5142474,1.3425497,0.2500000
12.8569439,2.8576986,2.7404386,4.5411182,1.3260786,0.2500000
12.9566101,2.7638125,2.7076503,4.5795761,1.3096076,0.2500000
13.0562763,2.6688615,2.6791305,4.6282149,1.2931365,0.2500000
13.1559426,2.5731922,2.6546290,4.6856458,1.2766655,0.2500000
13.2556088,2.4763069,2.6337309,4.7505558,1.2601944,0.2500000
13.3552750,2.3786206,2.6162949,4.8211663,1.2437234,0.2500000
13.4549412,2.2805538,2.6021246,4.8983466,1.2272523,0.2500000
13.5546075,2.1820246,2.5909057,4.9835147,1.2190897,0.2594896
13.6542737,2.0829512,2.5823237,5.0776994,1.2138594,0.2723285
13.7539399,1.9832518,2.5760645,5.1707282,1.2086291,0.2851673
13.8536062,1.8828446,2.5718135,5.2617505,1.2033989,0.2980062
13.9532724,1.7833422,2.5692853,5.3508701,1.1981686,0.3108450
14.0529386,1.6850978,2.5680627,5.4381820,1.1929383,0.3236839
14.1526049,1.5861996,2.5677055,5.5237731,1.1877081,0.3365227
14.2522711,1.4867302,2.5678368,5.6077237,1.1824778,0.3493616
14.3519373,1.3867723,2.5680801,5.6314026,1.1900676,0.3563855
14.4516036,1.2864087,2.5680583,5.4384040,1.2012185,0.3617941
14.5512698,1.1857221,2.5673949,5.2558567,1.2123694,0.3672028
